cohort_month,total_users,d1_retention_rate,d7_retention_rate,d30_retention_rate,payer_conversion_rate,total_revenue,arpu,avg_predicted_ltv,avg_sessions,avg_playtime_hours
2025-01,859,0.3388,0.0489,0.0012,0.0547,1639.98,1.9092,2.3396,13.1118,3.1131
2025-02,759,0.3267,0.0343,0.0013,0.0672,2787.22,3.6722,4.274,11.5797,2.8265
2025-03,824,0.3519,0.0388,0.0012,0.0558,2931.6,3.5578,2.3733,12.0267,2.7822
2025-04,865,0.3572,0.0416,0.0012,0.0555,3787.56,4.3787,4.6902,11.9364,2.7745
2025-05,864,0.3275,0.0312,0.0012,0.0428,1511.53,1.7495,3.1975,10.2708,2.3889
2025-06,841,0.346,0.0392,0.0,0.0678,3790.72,4.5074,3.4376,11.4221,2.6286
2025-07,838,0.389,0.0465,0.0024,0.0561,1878.22,2.2413,2.5797,13.284,3.3
2025-08,857,0.3442,0.042,0.0035,0.0525,3013.34,3.5161,2.8196,12.0408,3.0329
2025-09,778,0.3445,0.036,0.0013,0.0411,1063.36,1.3668,2.2574,12.608,2.9407
2025-10,837,0.3608,0.037,0.0036,0.0502,2804.84,3.3511,2.9227,11.7575,2.6792
2025-11,838,0.3747,0.0453,0.0012,0.0585,1959.96,2.3389,2.8012,12.9296,2.8363
2025-12,840,0.3702,0.0488,0.0012,0.0583,3481.27,4.1444,2.8409,13.5345,2.8938
