country,total_users,payer_conversion_rate,total_revenue,arpu,avg_predicted_ltv,d7_retention_rate,country_name
AU,445,0.0539,1952.83,4.3884,1.8993,0.0382,Australia
BR,685,0.0248,300.19,0.4382,2.5111,0.0453,Brazil
CA,482,0.0456,1057.03,2.193,1.9337,0.027,Canada
CN,1266,0.0434,2094.79,1.6547,2.2494,0.0427,China
DE,801,0.0512,1669.17,2.0839,1.7362,0.0437,Germany
IN,596,0.0117,975.15,1.6362,2.3151,0.0285,India
JP,1463,0.0786,7228.4,4.9408,4.7074,0.0492,Japan
KR,1012,0.0652,2990.47,2.955,3.2375,0.0356,South Korea
UK,842,0.0736,3022.49,3.5897,3.0767,0.0261,United Kingdom
US,2408,0.0586,9359.08,3.8867,3.5569,0.0465,United States
