User ID,Install Date,Install Month,Install Week,Days Since Install,Acquisition Source,Country,Platform,Age Group,Day 1 Retained,Day 7 Retained,Day 30 Retained,Total Sessions,Avg Session Duration (min),Total Playtime (hours),Levels Completed,Tutorial Completed,Ads Watched,Friends Invited,Guild Joined,Is Payer,Number of Purchases,First Purchase Day,Total Revenue,LTV Day 7,LTV Day 30,LTV Day 90,LTV Day 180,LTV Day 365,Predicted LTV,User Segment,Sessions Per Day,Revenue Per Session,Engagement Score
user_000000,2025-04-13,2025-04,2025-04-07/2025-04-13,262,Organic,US,iOS,35-44,No,No,No,1,13.2,0.2,0,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,Medium Value,0.0,0.0,13.5
user_000001,2025-12-15,2025-12,2025-12-15/2025-12-21,16,Facebook Ads,US,iOS,45-54,No,No,No,25,16.1,6.7,20,Yes,8,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.85,Low Value,1.56,0.0,26.3
user_000002,2025-09-28,2025-09,2025-09-22/2025-09-28,94,Facebook Ads,AU,iOS,18-24,No,No,No,1,7.7,0.1,2,No,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,Low Value,0.01,0.0,3.5
user_000003,2025-04-17,2025-04,2025-04-14/2025-04-20,258,Google Ads,UK,Android,45-54,No,No,No,1,11.6,0.2,0,Yes,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,Low Value,0.0,0.0,13.5
user_000004,2025-03-13,2025-03,2025-03-10/2025-03-16,293,Apple Search,DE,iOS,45-54,No,No,No,1,7.7,0.1,1,Yes,1,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,Low Value,0.0,0.0,13.5
user_000005,2025-07-08,2025-07,2025-07-07/2025-07-13,176,Facebook Ads,DE,iOS,45-54,No,No,No,5,18.4,1.5,4,No,2,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,Low Value,0.03,0.0,9.0
user_000006,2025-01-21,2025-01,2025-01-20/2025-01-26,344,Google Ads,US,Android,35-44,Yes,No,No,22,21.8,8.0,18,Yes,10,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.35,Low Value,0.06,0.0,35.7
user_000007,2025-04-13,2025-04,2025-04-07/2025-04-13,262,Organic,CN,Android,45-54,Yes,Yes,No,163,9.2,25.0,119,Yes,74,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,Medium Value,0.62,0.0,75.5
user_000008,2025-05-02,2025-05,2025-04-28/2025-05-04,243,Influencer,US,Android,18-24,Yes,No,No,1,15.7,0.3,0,No,0,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,Low Value,0.0,0.0,13.5
user_000009,2025-08-03,2025-08,2025-07-28/2025-08-03,150,Facebook Ads,DE,Android,25-34,Yes,No,No,9,11.4,1.7,8,No,5,0,No,No,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,Low Value,0.06,0.0,21.5
